Game_Title,Consoles,ESRB_Rating,Content_Descriptors,Interactive_Elements,Content_Summary
Shadow of the Ninja - Reborn,"PlayStation 5, Nintendo Switch",T,"Fantasy Violence,Mild Blood",No Interactive Elements,"This is an action platformer in which players assume the role of ninjas attempting to stop a demon invasion. Players traverse side-scrolling levels to defeat human and fantastical enemies (e.g., robots, monkeys, ninjas) in melee-style combat. Players use swords, chains, guns, and cannonballs to attack and kill enemies. Combat is highlighted by impact sounds, colorful light effects, and brief blood-splatter effects."
Ys Memoire: The Oath in Felghana,"PlayStation 5, Nintendo Switch",T,"Blood,Fantasy Violence,Mild Language,Suggestive Themes",No Interactive Elements,"This is an action role-playing game in which players assume the roles of adventurers attempting to prevent the revival of an ancient evil. From a ¾-overhead perspective, players explore environments, interact with characters, complete quests, and battle human and fantastical enemies (e.g., wolf creatures, crab-like monsters, skeletons). Players use swords and magic spells to defeat enemies in melee-style combat. Battles are highlighted by impact sounds, cries of pain, and brief blood-splatter effects. One cutscene depicts a character stabbed, with stylized blood pooling effects. Some fantasy creatures/human-like enemies are designed with revealing outfits/anatomy (e.g., partially exposed breasts, under-cleavage). The words “a*s” and “bastard” appear in the game."
Ys Memoire: The Oath in Felghana ''Refined Edition'',"PlayStation 5, Nintendo Switch",T,"Blood,Fantasy Violence,Mild Language,Suggestive Themes",No Interactive Elements,"This is an action role-playing game in which players assume the roles of adventurers attempting to prevent the revival of an ancient evil. From a ¾-overhead perspective, players explore environments, interact with characters, complete quests, and battle human and fantastical enemies (e.g., wolf creatures, crab-like monsters, skeletons). Players use swords and magic spells to defeat enemies in melee-style combat. Battles are highlighted by impact sounds, cries of pain, and brief blood-splatter effects. One cutscene depicts a character stabbed, with stylized blood pooling effects. Some fantasy creatures/human-like enemies are designed with revealing outfits/anatomy (e.g., partially exposed breasts, under-cleavage). The words “a*s” and “bastard” appear in the game."
Assassin''s Creed Shadows,"Windows PC, PlayStation 5, Xbox Series",M,"Blood and Gore,Intense Violence,Language","Users Interact (PC,Xbox Series,PlayStation 5)In-Game Purchases (PC,Xbox Series,PlayStation 5)","This is an action-adventure game in which players follow the stories of a shinobi assassin (Naoe) and a samurai (Yasuke) as they navigate turbulent clan wars during Sengoku-era Japan. Players explore open-world environments while performing missions (e.g., searching for items, infiltrating enemy compounds) and using stealth to kill human targets. Players use swords, throwing/concealed blades, and occasional guns to kill various enemies (e.g., ninja, guards, soldiers, samurai) in melee-style combat. Battles are highlighted by screams of pain and frequent blood-splatter effects. Some finishing moves allow players to decapitate or dismember enemies, with brief slow-motion effects. Cutscenes depict further instances of violence: captives beheaded; characters shot at close range. The words “sh*t” and “a*shole” appear in the game."
Clock Tower: Rewind,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch, Xbox Series",T,"Blood and Gore,Violence",No Interactive Elements,"This is a point-and-click adventure game in which players assume the role of an orphan trapped inside a mysterious mansion. From a 2D perspective, players explore rooms, solve puzzles, and hide from a stalker with giant scissors. In some sequences, players can throw a dagger at walking corpses. Blood is depicted in the background of a handful of environments. Some pixelated still-images can depict blood/gore: a decapitated bird in a pool of blood; blood streaming from a faucet. The game contains an animated comic book with brief, stylized depictions of violence and blood: a character impaled by giant scissors; a character''s bloody body thrown out a window; a bloodied corpse hanging from a shower stall."
Worms Armageddon: Anniversary Edition,"PlayStation 5, Nintendo Switch",T,"Crude Humor,Fantasy Violence,Mild Blood,Mild Language,Mild Suggestive Themes","Users Interact (Switch,PlayStation 5)","This is a turn-based strategy game in which players control teams of worms in last-worm-standing battles. From a pulled-back perspective, players move small worms across 2D landscapes, using cartoony weapons (e.g., bazookas, flying animals, oversized missiles/bombs) to defeat opposing teams. Turns are accompanied by realistic gunfire, explosions, and cries of pain. A handful of art-gallery images depict worms with bleeding wounds or small drops of blood. Some behind-the-scenes content can be suggestive: Worms-themed condoms used as promotional material; occasional innuendo (e.g., “Real Worms Don''t Fire Blanks”; “How hard is your worm?”). One level/battlefield depicts a giant poo coil with flies floating around it. The word “a*shole” is partially bleeped out in one interview."
Kingdom Come: Deliverance II,"Windows PC, PlayStation 5, Xbox Series",M,"Blood and Gore,Intense Violence,Partial Nudity,Sexual Content,Strong Language,Use of Alcohol",No Interactive Elements,"This is an action role-playing game in which players assume the role of a man on a quest to find his sword and avenge his family. From a first-person perspective, players explore open-world medieval environments, complete quests, and engage in melee-style combat against human enemies (e.g., soldiers, civilians, bandits). Players use swords, knives, crossbows, spears, and their fists to kill enemies. Battles are accompanied by cries of pain, impact sounds, and blood-splatter effects. Players can also perform close-up stealth kills (e.g., sneaking behind characters to stab them or break their necks). Some environments depict human and animal corpses on the ground, with bloodstains on/around them. One prolonged sequence depicts two characters torturing another for information, giving players the option to end the interrogation or continue torturing; various instruments of torture are used on victims off-screen, accompanied by screaming. The game contains some sexual/suggestive content: characters depicted partially nude (e.g., exposed breasts, buttocks); sequences briefly depicting characters, both clothed and partially nude, having sex (e.g., camera focusing on characters'' midsection and/or legs). During the course of the game, players'' character can obtain and consume alcohol from a first-person perspective, resulting in a drunken state (i.e., screen-blurring effects, swaying, hiccupping). The words “f**k” and “c*nt” appear in the game."
World of Warcraft: The War Within,"Macintosh, Windows PC",T,"Blood and Gore,Crude Humor,Mild Language,Suggestive Themes,Use of Alcohol,Violence","Users Interact (MAC,PC)In-Game Purchases (MAC,PC)","This is a massively multiplayer online (MMO) role-playing game set in the fantasy world of Azeroth. As players explore open-world environments, they can interact with characters, form alliances, and complete quests to “level up.” Quests can involve killing various creatures (e.g., monsters, trolls, ogres, forest animals), as players use melee attacks and magic spells. Combat is highlighted by impact sounds, gunfire, explosions, and depleting health bars. Some attacks result in splashes of blood and/or creatures bursting into chunks. The game contains some suggestive dialogue, particularly when using the flirt lines/commands (e.g., “Want me to talk dirty? I do speak Nathrezim, you know”; “Don''t touch the tail! … Okay, now touch the tail”; “Honey, I''ve got all kinds of toys in my utility belt”; ""I have tattoos in other places, you know""; ""Your happy place or mine?""). Some female characters are depicted wearing low-cut tops and/or performing provocative dance routines. During the course of the game, players'' character can purchase and consume mead, wine, and other alcoholic beverages; drinking excessively results in a screen-blurring effect and characters vomiting. One quest prompts players'' character to search for specific items among piles of feces. The words “a*s” and “bastard” appear in the game."
Selfloss,"PlayStation 5, Nintendo Switch",T,"Blood,Fantasy Violence",No Interactive Elements,"This is an adventure game in which players embark on a journey through a whale-worshipping world in order to help a wounded soul. From a 3/4-overhead perspective, players explore stylized islands environments, interact with characters, rescue wildlife, and use a magical staff to defeat enemy creatures. Players use the staff to freeze creatures (e.g., tubeworms, slime creatures, giant crabs) and smash them into pieces. Some environments depict piles of whale carcasses and whale parts covered in blood. One area depicts an impaled whale bleeding out over a chasm; a blood fountain is depicted in another level. The game contains allusions/references to self-harm (e.g., a character putting his head through a noose, as the camera fades to black; dialogue such as “The old man''s neck is strong and the rope is not able to hold his weight…”)."
Tales from Toyotoki: Arrival of the Witch,"PlayStation 5, Nintendo Switch",T,"Language,Mild Blood,Mild Violence,Suggestive Themes,Use of Alcohol",No Interactive Elements,"This is a visual novel in which players follow the story of a man sent to live with his grandparents in Okinawa, Japan. As players progress through the story, they can interact with various characters. Some interactions lead to players'' character being attacked (e.g., “He threw a fist at me…The pain was excruciating.""); impact sounds and screen-shaking effects occur. In one sequence, stylized blood splatter briefly appears on the screen. The dialogue references suggestive material (e.g., “I don''t think I''ve ever been this close to a pair of boobs before”; “She was also well endowed”; “I thought he would be the one to deflower me.""). One sequence alludes to sexual assault in text (e.g., “The two of them leapt at the girl. Their brawny arms encircled her, and she couldn''t shake them off”; “We''re done talking! Now it''s time for some fun.”). A prolonged monologue depicts a drunk character holding a beer can. The word “sh*t” appears in the game."
