Game_Title,Consoles,ESRB_Rating,Content_Descriptors,Interactive_Elements,Content_Summary
Ys Memoire: The Oath in Felghana,"PlayStation 5, Nintendo Switch",T,"Blood,Fantasy Violence,Mild Language,Suggestive Themes",No Interactive Elements,"This is an action role-playing game in which players assume the roles of adventurers attempting to prevent the revival of an ancient evil. From a ¾-overhead perspective, players explore environments, interact with characters, complete quests, and battle human and fantastical enemies (e.g., wolf creatures, crab-like monsters, skeletons). Players use swords and magic spells to defeat enemies in melee-style combat. Battles are highlighted by impact sounds, cries of pain, and brief blood-splatter effects. One cutscene depicts a character stabbed, with stylized blood pooling effects. Some fantasy creatures/human-like enemies are designed with revealing outfits/anatomy (e.g., partially exposed breasts, under-cleavage). The words “a*s” and “bastard” appear in the game."
Ys Memoire: The Oath in Felghana ''Refined Edition'',"PlayStation 5, Nintendo Switch",T,"Blood,Fantasy Violence,Mild Language,Suggestive Themes",No Interactive Elements,"This is an action role-playing game in which players assume the roles of adventurers attempting to prevent the revival of an ancient evil. From a ¾-overhead perspective, players explore environments, interact with characters, complete quests, and battle human and fantastical enemies (e.g., wolf creatures, crab-like monsters, skeletons). Players use swords and magic spells to defeat enemies in melee-style combat. Battles are highlighted by impact sounds, cries of pain, and brief blood-splatter effects. One cutscene depicts a character stabbed, with stylized blood pooling effects. Some fantasy creatures/human-like enemies are designed with revealing outfits/anatomy (e.g., partially exposed breasts, under-cleavage). The words “a*s” and “bastard” appear in the game."
FAIRY TAIL 2,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch",T,"Fantasy Violence,Mild Language,Suggestive Themes",No Interactive Elements,"This is an action role-playing game in which players follow members of the Fairy Tail guild as they battle evil forces. Players use bladed weapons, whips, and magic attacks to defeat human and fantasy enemies (e.g., wolf-like creatures, dragons) in fast-paced combat. Violence is depicted in an anime style, with stylized light effects and conditions/damage represented by gauges and icons. A handful of cutscenes depict still images of characters stabbing themselves. Several female characters wear revealing outfits (e.g., low-cut tops. deep cleavage); one sequence contains suggestive dialogue (e.g., “You don''t have to strip""; ""I can see your b*obies...They''re so soft!”). The words “a*s” and “p*ssed” appear in the game."
Worms Armageddon: Anniversary Edition,"PlayStation 5, Nintendo Switch",T,"Crude Humor,Fantasy Violence,Mild Blood,Mild Language,Mild Suggestive Themes","Users Interact (Switch,PlayStation 5)","This is a turn-based strategy game in which players control teams of worms in last-worm-standing battles. From a pulled-back perspective, players move small worms across 2D landscapes, using cartoony weapons (e.g., bazookas, flying animals, oversized missiles/bombs) to defeat opposing teams. Turns are accompanied by realistic gunfire, explosions, and cries of pain. A handful of art-gallery images depict worms with bleeding wounds or small drops of blood. Some behind-the-scenes content can be suggestive: Worms-themed condoms used as promotional material; occasional innuendo (e.g., “Real Worms Don''t Fire Blanks”; “How hard is your worm?”). One level/battlefield depicts a giant poo coil with flies floating around it. The word “a*shole” is partially bleeped out in one interview."
Tales from Toyotoki: Arrival of the Witch,"PlayStation 5, Nintendo Switch",T,"Language,Mild Blood,Mild Violence,Suggestive Themes,Use of Alcohol",No Interactive Elements,"This is a visual novel in which players follow the story of a man sent to live with his grandparents in Okinawa, Japan. As players progress through the story, they can interact with various characters. Some interactions lead to players'' character being attacked (e.g., “He threw a fist at me…The pain was excruciating.""); impact sounds and screen-shaking effects occur. In one sequence, stylized blood splatter briefly appears on the screen. The dialogue references suggestive material (e.g., “I don''t think I''ve ever been this close to a pair of boobs before”; “She was also well endowed”; “I thought he would be the one to deflower me.""). One sequence alludes to sexual assault in text (e.g., “The two of them leapt at the girl. Their brawny arms encircled her, and she couldn''t shake them off”; “We''re done talking! Now it''s time for some fun.”). A prolonged monologue depicts a drunk character holding a beer can. The word “sh*t” appears in the game."
Taiko no Tatsujin: Rhythm Festival,Windows PC,E,No Descriptors,In-Game Purchases (PC),"This is a rhythm game in which players match on-screen prompts to play drums or engage in drum-themed mini-games. Players earn points by accurately matching cues as on-screen characters perform activities (e.g., playing drums, inflating balloons)."
FINAL FANTASY XVI,Windows PC,M,"Blood and Gore,Partial Nudity,Sexual Themes,Strong Language,Violence",No Interactive Elements,"This is an action role-playing game in which players assume the role of an enslaved prince (Clive) on a quest to find his missing brother. From a third-person perspective, players explore a fantasy kingdom, complete various quests, and engage in battles against enemy soldiers and fantastical creatures (e.g., trolls, orcs). Players use swords and magical attacks (e.g., fireballs, lighting strikes) to kill characters in melee-style combat. During fighting sequences, players can perform cinematic attacks/finishing moves by following on-screen prompts. Battles are fast paced, accompanied by impact sounds, cries of pain, and large explosions. Blood-splatter effects frequently occur when characters are slashed and killed. Cutscenes depict additional acts of violence and blood: a character''s hands severed by a sword; a guard''s throat slit by a knife; a character impaled through the chest; a prisoner''s shoulder stabbed and twisted by an interrogator''s blade. The game contains some sexual material: a character caressing and straddling a man in bed; references to prostitution—sexual moaning sounds in a brothel; dialogue such as, “I''d be happy to show you…provided I can afford it” and “…thank you for your service. My chamber is just upstairs."" Some characters are depicted with partially exposed breasts and buttocks. The words “f**k” and “sh*t” are heard in the game."
Elypse,"PlayStation 5, Nintendo Switch",E10+,"Fantasy Violence,Mild Language",No Interactive Elements,No Rating Summary
Donkey Kong Country Returns HD,Nintendo Switch,E,Mild Fantasy Violence,No Interactive Elements,"This is a side-scrolling platformer in which players control Donkey Kong and Diddy Kong as they attempt to stop the evil Tiki. Players traverse whimsical platforms, using jumping moves and barrel attacks to defeat cartoony enemies (e.g., frogs, birds, tiki-mask creatures). Enemies generally disappear or fly off-screen when defeated. At the end of boss battles, players can repeatedly smack characters closer-up, causing them to get knocked into the distance."
B-PROJECT RYUSEI*FANTASIA,Nintendo Switch,T,"Language,Mild Suggestive Themes",No Interactive Elements,"This is a visual novel in which players follow the story of a young A&R staff member dealing with members of an idol pop group. As players progress through the story, players learn about artists'' trainee days and the struggles they faced on the path to success. A handful of sequences can reference suggestive material (e.g., “It doesn''t feel like sparkling glass, or ''Oh no, you perv''""; “You''re sparkly, pervy, and stabby”; “Pinning the girl against the wall, lifting her chin, running your fingers through her hair…""; “You seduce the regular at the tea room...and end up fooling around with her.”). The words “sh*t” and “a*shole” appear in the game."
