Game_Title,Consoles,ESRB_Rating,Content_Descriptors,Interactive_Elements,Content_Summary
Asphalt Legends Unite,PlayStation 5,E,"Mild Lyrics,Mild Violence",Users Interact (PlayStation 5)In-Game Purchases (Includes Random Items) (PlayStation 5),"This is an arcade-style racing game in which players race through various cities. Players drive cars through streets while drifting corners, performing jumps, and collecting nitro boosts. As players race through urban courses, they can collide with objects and other vehicles; crashes are embellished by slow-motion effects, explosions, and flying debris. During some racing events, players are encouraged to damage other cars or force racers to crash out. The word “hell” is heard in some song lyrics."
Cat Quest III,"PlayStation 5, Nintendo Switch",E10+,"Comic Mischief,Fantasy Violence",No Interactive Elements,"This is an action role-playing game in which players assume the role of a cat pirate exploring islands for treasure. Players traverse pirate-themed environments, interact with characters, and engage in combat with enemies (e.g., pi-rats, pirate ships). On land, players use cartoony swords, axes, pistols, and magic to defeat enemies in melee-style combat; at sea, players use cannons to shoot at enemy ships in ranged combat. Combat is accompanied by impact sounds, screen-shaking effects, and dwindling health bars. During the course of the game, players can attack parrots, causing them to drop brown poo coils."
Shadow of the Ninja - Reborn,"PlayStation 5, Nintendo Switch",T,"Fantasy Violence,Mild Blood",No Interactive Elements,"This is an action platformer in which players assume the role of ninjas attempting to stop a demon invasion. Players traverse side-scrolling levels to defeat human and fantastical enemies (e.g., robots, monkeys, ninjas) in melee-style combat. Players use swords, chains, guns, and cannonballs to attack and kill enemies. Combat is highlighted by impact sounds, colorful light effects, and brief blood-splatter effects."
WitchSpring R,"PlayStation 5, Nintendo Switch",E10+,"Alcohol Reference,Fantasy Violence,Language",No Interactive Elements,"This is a role-playing game in which players help a young witch that is being hunted down by warriors. From a 3/4-overhead perspective, players explore a fantasy world, recruit allies, and battle enemy warriors and monsters (e.g., dragons). Players can choose physical attacks and magic spells from a menu to defeat enemies in turn-based combat. Battles are accompanied by brief explosions, impact sounds, and screen-shaking effects. A tavern sequence depicts soldiers sitting at a table with frothy beer mugs. The word “a*s” appears in the game."
Ys Memoire: The Oath in Felghana,"PlayStation 5, Nintendo Switch",T,"Blood,Fantasy Violence,Mild Language,Suggestive Themes",No Interactive Elements,"This is an action role-playing game in which players assume the roles of adventurers attempting to prevent the revival of an ancient evil. From a ¾-overhead perspective, players explore environments, interact with characters, complete quests, and battle human and fantastical enemies (e.g., wolf creatures, crab-like monsters, skeletons). Players use swords and magic spells to defeat enemies in melee-style combat. Battles are highlighted by impact sounds, cries of pain, and brief blood-splatter effects. One cutscene depicts a character stabbed, with stylized blood pooling effects. Some fantasy creatures/human-like enemies are designed with revealing outfits/anatomy (e.g., partially exposed breasts, under-cleavage). The words “a*s” and “bastard” appear in the game."
Ys Memoire: The Oath in Felghana ''Refined Edition'',"PlayStation 5, Nintendo Switch",T,"Blood,Fantasy Violence,Mild Language,Suggestive Themes",No Interactive Elements,"This is an action role-playing game in which players assume the roles of adventurers attempting to prevent the revival of an ancient evil. From a ¾-overhead perspective, players explore environments, interact with characters, complete quests, and battle human and fantastical enemies (e.g., wolf creatures, crab-like monsters, skeletons). Players use swords and magic spells to defeat enemies in melee-style combat. Battles are highlighted by impact sounds, cries of pain, and brief blood-splatter effects. One cutscene depicts a character stabbed, with stylized blood pooling effects. Some fantasy creatures/human-like enemies are designed with revealing outfits/anatomy (e.g., partially exposed breasts, under-cleavage). The words “a*s” and “bastard” appear in the game."
FAIRY TAIL 2,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch",T,"Fantasy Violence,Mild Language,Suggestive Themes",No Interactive Elements,"This is an action role-playing game in which players follow members of the Fairy Tail guild as they battle evil forces. Players use bladed weapons, whips, and magic attacks to defeat human and fantasy enemies (e.g., wolf-like creatures, dragons) in fast-paced combat. Violence is depicted in an anime style, with stylized light effects and conditions/damage represented by gauges and icons. A handful of cutscenes depict still images of characters stabbing themselves. Several female characters wear revealing outfits (e.g., low-cut tops. deep cleavage); one sequence contains suggestive dialogue (e.g., “You don''t have to strip""; ""I can see your b*obies...They''re so soft!”). The words “a*s” and “p*ssed” appear in the game."
Assassin''s Creed Shadows,"Windows PC, PlayStation 5, Xbox Series",M,"Blood and Gore,Intense Violence,Language","Users Interact (PC,Xbox Series,PlayStation 5)In-Game Purchases (PC,Xbox Series,PlayStation 5)","This is an action-adventure game in which players follow the stories of a shinobi assassin (Naoe) and a samurai (Yasuke) as they navigate turbulent clan wars during Sengoku-era Japan. Players explore open-world environments while performing missions (e.g., searching for items, infiltrating enemy compounds) and using stealth to kill human targets. Players use swords, throwing/concealed blades, and occasional guns to kill various enemies (e.g., ninja, guards, soldiers, samurai) in melee-style combat. Battles are highlighted by screams of pain and frequent blood-splatter effects. Some finishing moves allow players to decapitate or dismember enemies, with brief slow-motion effects. Cutscenes depict further instances of violence: captives beheaded; characters shot at close range. The words “sh*t” and “a*shole” appear in the game."
Clock Tower: Rewind,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch, Xbox Series",T,"Blood and Gore,Violence",No Interactive Elements,"This is a point-and-click adventure game in which players assume the role of an orphan trapped inside a mysterious mansion. From a 2D perspective, players explore rooms, solve puzzles, and hide from a stalker with giant scissors. In some sequences, players can throw a dagger at walking corpses. Blood is depicted in the background of a handful of environments. Some pixelated still-images can depict blood/gore: a decapitated bird in a pool of blood; blood streaming from a faucet. The game contains an animated comic book with brief, stylized depictions of violence and blood: a character impaled by giant scissors; a character''s bloody body thrown out a window; a bloodied corpse hanging from a shower stall."
Worms Armageddon: Anniversary Edition,"PlayStation 5, Nintendo Switch",T,"Crude Humor,Fantasy Violence,Mild Blood,Mild Language,Mild Suggestive Themes","Users Interact (Switch,PlayStation 5)","This is a turn-based strategy game in which players control teams of worms in last-worm-standing battles. From a pulled-back perspective, players move small worms across 2D landscapes, using cartoony weapons (e.g., bazookas, flying animals, oversized missiles/bombs) to defeat opposing teams. Turns are accompanied by realistic gunfire, explosions, and cries of pain. A handful of art-gallery images depict worms with bleeding wounds or small drops of blood. Some behind-the-scenes content can be suggestive: Worms-themed condoms used as promotional material; occasional innuendo (e.g., “Real Worms Don''t Fire Blanks”; “How hard is your worm?”). One level/battlefield depicts a giant poo coil with flies floating around it. The word “a*shole” is partially bleeped out in one interview."
Kingdom Come: Deliverance II,"Windows PC, PlayStation 5, Xbox Series",M,"Blood and Gore,Intense Violence,Partial Nudity,Sexual Content,Strong Language,Use of Alcohol",No Interactive Elements,"This is an action role-playing game in which players assume the role of a man on a quest to find his sword and avenge his family. From a first-person perspective, players explore open-world medieval environments, complete quests, and engage in melee-style combat against human enemies (e.g., soldiers, civilians, bandits). Players use swords, knives, crossbows, spears, and their fists to kill enemies. Battles are accompanied by cries of pain, impact sounds, and blood-splatter effects. Players can also perform close-up stealth kills (e.g., sneaking behind characters to stab them or break their necks). Some environments depict human and animal corpses on the ground, with bloodstains on/around them. One prolonged sequence depicts two characters torturing another for information, giving players the option to end the interrogation or continue torturing; various instruments of torture are used on victims off-screen, accompanied by screaming. The game contains some sexual/suggestive content: characters depicted partially nude (e.g., exposed breasts, buttocks); sequences briefly depicting characters, both clothed and partially nude, having sex (e.g., camera focusing on characters'' midsection and/or legs). During the course of the game, players'' character can obtain and consume alcohol from a first-person perspective, resulting in a drunken state (i.e., screen-blurring effects, swaying, hiccupping). The words “f**k” and “c*nt” appear in the game."
World of Warcraft: The War Within,"Macintosh, Windows PC",T,"Blood and Gore,Crude Humor,Mild Language,Suggestive Themes,Use of Alcohol,Violence","Users Interact (MAC,PC)In-Game Purchases (MAC,PC)","This is a massively multiplayer online (MMO) role-playing game set in the fantasy world of Azeroth. As players explore open-world environments, they can interact with characters, form alliances, and complete quests to “level up.” Quests can involve killing various creatures (e.g., monsters, trolls, ogres, forest animals), as players use melee attacks and magic spells. Combat is highlighted by impact sounds, gunfire, explosions, and depleting health bars. Some attacks result in splashes of blood and/or creatures bursting into chunks. The game contains some suggestive dialogue, particularly when using the flirt lines/commands (e.g., “Want me to talk dirty? I do speak Nathrezim, you know”; “Don''t touch the tail! … Okay, now touch the tail”; “Honey, I''ve got all kinds of toys in my utility belt”; ""I have tattoos in other places, you know""; ""Your happy place or mine?""). Some female characters are depicted wearing low-cut tops and/or performing provocative dance routines. During the course of the game, players'' character can purchase and consume mead, wine, and other alcoholic beverages; drinking excessively results in a screen-blurring effect and characters vomiting. One quest prompts players'' character to search for specific items among piles of feces. The words “a*s” and “bastard” appear in the game."
Tales from Toyotoki: Arrival of the Witch,"PlayStation 5, Nintendo Switch",T,"Language,Mild Blood,Mild Violence,Suggestive Themes,Use of Alcohol",No Interactive Elements,"This is a visual novel in which players follow the story of a man sent to live with his grandparents in Okinawa, Japan. As players progress through the story, they can interact with various characters. Some interactions lead to players'' character being attacked (e.g., “He threw a fist at me…The pain was excruciating.""); impact sounds and screen-shaking effects occur. In one sequence, stylized blood splatter briefly appears on the screen. The dialogue references suggestive material (e.g., “I don''t think I''ve ever been this close to a pair of boobs before”; “She was also well endowed”; “I thought he would be the one to deflower me.""). One sequence alludes to sexual assault in text (e.g., “The two of them leapt at the girl. Their brawny arms encircled her, and she couldn''t shake them off”; “We''re done talking! Now it''s time for some fun.”). A prolonged monologue depicts a drunk character holding a beer can. The word “sh*t” appears in the game."
Taiko no Tatsujin: Rhythm Festival,Windows PC,E,No Descriptors,In-Game Purchases (PC),"This is a rhythm game in which players match on-screen prompts to play drums or engage in drum-themed mini-games. Players earn points by accurately matching cues as on-screen characters perform activities (e.g., playing drums, inflating balloons)."
FINAL FANTASY XVI,Windows PC,M,"Blood and Gore,Partial Nudity,Sexual Themes,Strong Language,Violence",No Interactive Elements,"This is an action role-playing game in which players assume the role of an enslaved prince (Clive) on a quest to find his missing brother. From a third-person perspective, players explore a fantasy kingdom, complete various quests, and engage in battles against enemy soldiers and fantastical creatures (e.g., trolls, orcs). Players use swords and magical attacks (e.g., fireballs, lighting strikes) to kill characters in melee-style combat. During fighting sequences, players can perform cinematic attacks/finishing moves by following on-screen prompts. Battles are fast paced, accompanied by impact sounds, cries of pain, and large explosions. Blood-splatter effects frequently occur when characters are slashed and killed. Cutscenes depict additional acts of violence and blood: a character''s hands severed by a sword; a guard''s throat slit by a knife; a character impaled through the chest; a prisoner''s shoulder stabbed and twisted by an interrogator''s blade. The game contains some sexual material: a character caressing and straddling a man in bed; references to prostitution—sexual moaning sounds in a brothel; dialogue such as, “I''d be happy to show you…provided I can afford it” and “…thank you for your service. My chamber is just upstairs."" Some characters are depicted with partially exposed breasts and buttocks. The words “f**k” and “sh*t” are heard in the game."
Dungeons of Hinterberg,Windows PC,E10+,"Alcohol Reference,Animated Blood,Fantasy Violence,Language",No Interactive Elements,"This is an adventure role-playing game in which players assume the role of a lawyer exploring dungeons in an alpine village. Players explore the village, interact with characters, solve puzzles, and slay fantastical creatures. Players use swords and magic spells to attack enemies (e.g., tar-like monsters) in melee-style combat. Battles can be frenetic at times, accompanied by impact sounds and light effects. Enemies generally burst into a liquid-like effect when defeated. The text in the game occasionally references alcohol (e.g., “roaring songs of drunk adventures”; “Monsterblood Schnaps”; ""craft beer shop“; ""massive hangover”). The word ""p*ssed"" appears in the game."
Tetris,ModRetro Chromatic,E,No Descriptors,No Interactive Elements,"This is a puzzle game in which players rotate and arrange falling blocks into rows. Players can engage in a variety of game modes (e.g., Marathon, Ultra, Sprint, Endless)."
Predator: Hunting Grounds,"PlayStation 5, Xbox Series",M,"Blood and Gore,Drug Reference,Intense Violence,Partial Nudity,Strong Language","Users Interact (Xbox Series,PlayStation 5)In-Game Purchases (Xbox Series,PlayStation 5)","This is a first-/third-person shooter in which players engage in combat missions as either a mercenary soldier or an alien Predator. Most missions involve infiltrating areas (e.g., camps, jungle outposts, villages) in order to obtain intel or destroy targets. Players use pistols, machine guns, chain guns, and explosives to kill enemies in frenetic firefights. Combat is highlighted by frequent gunfire, screams of pain, and blood-splatter effects. Some explosive weapons cause bodies to burst into chunks of flesh/limbs. The Predator can use blades and laser weapons to decapitate enemies. As the Predator, players can also perform execution-style finishing moves on soldiers; the victims'' skulls and spines get ripped from their bodies. Some scenes depict skinned corpses with exposed buttocks. One mission prompts players to locate packages of drugs in a compound and to eventually burn them. The words “f**k” and “sh*t” appear in the dialogue."
STAR WARS Jedi: Survivor™,"PlayStation 4, Xbox One",T,"Mild Language,Violence",No Interactive Elements,"This is an action-adventure game in which players assume the role of an outlaw Jedi on the run from the galactic Empire. From a third-person perspective, players explore alien planets while using their Jedi powers to traverse environments and battle enemies in melee-style combat. Players use lightsabers to slash and break apart alien creatures, droids, and humanoid enemies. Combat is fast paced, with cries of pain, impact sounds, and large explosions. Some sequences depict characters getting impaled through the chest. The words “a*s” and “bastard” are heard in the game."
FANTASIAN Neo Dimension,"Windows PC, PlayStation 5, Nintendo Switch, Xbox Series",E10+,"Fantasy Violence,Mild Blood,Mild Suggestive Themes,Use of Alcohol and Tobacco",No Interactive Elements,"This is a role-playing in which players assume the role of a treasure hunter on a quest to regain his lost memory. As players explore a fantasy world, they interact with characters, recruit party members, and engage human enemies and fantasy creatures (e.g., golem, giant skeletons, robot sentries) in turn-based combat. Players can choose weapon strikes and magic spells from a menu; battles are highlighted by light bursts and screen-shaking effects. One boss creature has blood streaks on its mask and armor; still-screen images depict blood drops on the ground and dripping from a character''s face. A handful of female characters are designed with suggestive features (e.g., deep cleavage, slight breast jiggle). During the course of the game, players can encounter drunk characters; a background image depicts a character smoking a cigar."
Elrentaros Wanderings,Nintendo Switch,T,"Fantasy Violence,Suggestive Themes",No Interactive Elements,"This is an adventure role-playing game in which players assume the role of a student caught shifting between a modern world and a fantasy world. From a ¾-overhead perspective, players interact with characters, explore dungeons, and battle fantasy creatures in melee-style combat. Battles are highlighted by impact sounds and colorful light effects. The dialogue contains references to innuendo and suggestive material, including romantic relations between a teacher and student (e.g., “I feel the same about you…But there''s a line we shouldn''t cross…If you''re that determined, then I will too…”; “They''re Throbbing Nuts...They''re nuts?! Hmm. I guess anything could be food here”; “I think it''s better you…get undressed…It means take your clothes off, silly”; “What do you mean assault you? But if that''s what you prefer…”)."
Goat Simulator 3,Nintendo Switch,T,"Crude Humor,Language,Violence",No Interactive Elements,"This is a simulation game in which players control a goat whose goal is to cause as much destruction as possible in an open-world environment. Players earn points by using the goat''s abilities (e.g., ramming, jumping, running) to destroy objects and complete challenges. Several stunts involve violence: electrocuting pedestrians; shooting fireballs at bystanders; detonating bombs; pushing humans off cliffs. Damage to humans is depicted by ragdoll effects, running and screaming, and getting set on fire. The game contains instances of crude humor (e.g., piles of manure; green clouds and flatulence sounds; characters vomiting objects and green liquids). The word “sh*t” appears in the dialogue."
Emio—The Smiling Man: Famicom Detective Club,Nintendo Switch,M,"Blood,Language,Violence",No Interactive Elements,"This is a simulation/adventure game in which players follow a junior detective as he collaborates with police and locals to find a killer. As players examine scenes and gather evidence from witnesses, they can ask various questions to uncover key story elements/backstory. Some cutscenes depict instances of violence: a father slapping his children; characters strangled; a human corpse hanging from a tie; a man using scissors to slice his face. Some scenes depict corpses lying in pools or trails of blood. The game contains plot points dealing with child abuse, murder, teen suicide and self-harm. The word “sh*t” appears in the game."
